id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
202,st_e38,1.7976931348623157e+308,3422.6745437499999,1.4847357909999999,2,0050,00
203,st_e40,30.828427000000001,28.2426405,0.16965398899999998,2,00260,00
204,super3t,NAN,NAN,NAN,NAN,NAN,NAN
205,supplychainp1_020306,438471.72306455148,44.340342882934259,0.27467590399999997,2,0020,00
206,supplychainp1_022020,1820182.8273658808,190.9080414666322,45.986881304,12,0030,00
207,supplychainp1_030510,1002771.474132176,126.65618297068883,3.172844614,7,0030,00
208,supplychainp1_053050,3912008.1496894928,524.0237176963559,142.485339842,11,0020,00
209,supplychainr1_020306,438470.94595311274,49310.654912932368,0.6744465529999999,2,0060,00
210,supplychainr1_022020,1820306.5478907456,183122.5766530754,8.826117448,3,0060,00
211,supplychainr1_030510,860440.1578099808,125674.86047153281,1.0617418509999998,2,0020,00
212,supplychainr1_053050,3817664.7267320706,511060.54897617869,202.885731588,15,0080,00
213,synheat,167602.49002697971,0,0.605533168,6,0060,00
214,tanksize,NAN,NAN,NAN,NAN,NAN,NAN
215,transswitch0009p,1.7976931348623157e+308,1188.75,1.035129036,3,0030,00
216,transswitch0009r,1.7976931348623157e+308,1188.75,0.28792474799999995,3,0030,00
217,transswitch0014p,1.7976931348623157e+308,0,6.995697979,4,0040,00
218,transswitch0014r,1.7976931348623157e+308,7.6457476978020269e-07,1.039030301,4,0030,00
219,transswitch0030p,1.7976931348623157e+308,1.7295538428738469e-07,44.603199821000004,6,0040,00
220,transswitch0030r,1.7976931348623157e+308,1.873186255310382e-07,43.868520755,6,0040,00
221,transswitch0039p,1.7976931348623157e+308,2.0000000036784278,27.589808119,3,0030,00
222,transswitch0039r,1.7976931348623157e+308,2.0000000003529723,22.614684894,3,0030,00
223,transswitch0057p,1.7976931348623157e+308,7.1661669228552068e-09,40.627522284,4,0040,00
224,transswitch0057r,1.7976931348623157e+308,1.1960943294804425e-07,28.577456945,5,0040,00
225,transswitch0118p,1.7976931348623157e+308,3.7121955747156404e-07,85.222215345,6,0040,00
226,transswitch0118r,1.7976931348623157e+308,2.0063300572448876e-06,41.130330654,4,0030,00
227,transswitch0300p,1.7976931348623157e+308,8.0151086913130886e-07,305.645905244,5,1030,00
228,transswitch0300r,1.7976931348623157e+308,1.6462466738725503e-06,60.532207898,3,0030,00
229,transswitch2383wpp,1.7976931348623157e+308,558251.65000000806,640.181009708,1,1010,00
230,transswitch2383wpr,1.7976931348623157e+308,558251.65000000806,383.186118392,3,1030,00
231,transswitch2736spp,1.7976931348623157e+308,945969.06000720791,977.475558491,1,1010,00
232,transswitch2736spr,1.7976931348623157e+308,945969.06000720791,297.917188013,1,1010,00
233,tspn05,191.25520764860227,-1.7976931348623157e+308,0.12391007000000001,3,0030,00
234,tspn08,290.56685370197852,-1.7976931348623157e+308,0.23143187099999998,3,0030,00
235,tspn10,225.1260713094448,-1.7976931348623157e+308,0.3755224,3,0030,00
236,tspn12,265.85789405214916,-1.7976931348623157e+308,0.445342144,3,0030,00
237,tspn15,327.13906183378992,-1.7976931348623157e+308,0.703139885,3,0030,00
238,unitcommit2,587076.07616040844,0,301.522932477,46,210270,00
239,uselinear,1.7976931348623157e+308,-1.7976931348623157e+308,1.4309421770000001,0,0000,00
240,var_con10,1.7976931348623157e+308,0,270.956787859,26,00260,00
241,var_con5,1.7976931348623157e+308,0,93.79537149299999,9,0090,00
242,wager,1.7976931348623157e+308,13180.913741577813,7.965044068999999,8,0080,00
243,wastepaper3,0.13972740739705902,0,2.278721153,9,0090,00
244,wastepaper4,0.0038944540734442644,0,13.014535719,20,00160,00
245,wastepaper5,0.023430975426003479,0,16.689259481,39,00240,00
246,wastepaper6,0.0022797719006167226,0,300.002201516,31,200300,00
247,water3,NAN,NAN,NAN,NAN,NAN,NAN
248,water4,NAN,NAN,NAN,NAN,NAN,NAN
249,waterful2,NAN,NAN,NAN,NAN,NAN,NAN
250,waternd1,606763.16707404517,320026.52303648583,7.287302307,11,0020,00
251,waternd2,1062710.8832271895,320042.31059931649,31.544105312,1,0010,00
252,waterno2_01,29.082322338019885,0,1.185268577,5,0050,00
253,waterno2_02,103.63368230867853,0,2.3371922339999998,6,0070,00
254,waterno2_03,137.54280497791669,0,18.751189292,23,00120,00
255,waterno2_04,1.7976931348623157e+308,0,6.447391418,14,0090,00
256,waterno2_06,1.7976931348623157e+308,0,10.37919385,11,00100,00
257,waterno2_09,1.7976931348623157e+308,0,30.646519173999998,6,0060,00
258,waterno2_12,1.7976931348623157e+308,0,307.766876531,13,1060,00
259,waterno2_18,1.7976931348623157e+308,0,324.437197443,13,1050,00
260,waterno2_24,1.7976931348623157e+308,0,362.872306326,14,1060,00
261,waters,NAN,NAN,NAN,NAN,NAN,NAN
262,watersbp,NAN,NAN,NAN,NAN,NAN,NAN
263,watersym1,NAN,NAN,NAN,NAN,NAN,NAN
264,watersym2,NAN,NAN,NAN,NAN,NAN,NAN
265,watertreatnd_conc,1.7976931348623157e+308,1.3785361866306666e-07,0.18434795099999998,1,0010,00
266,watertreatnd_flow,406961.22989544104,1.3785361866306666e-07,108.429215931,19,00190,00
267,waterx,NAN,NAN,NAN,NAN,NAN,NAN
268,waterz,NAN,NAN,NAN,NAN,NAN,NAN
269,windfac,1.7976931348623157e+308,0,0.128825767,2,0020,00
