id,path,obj,dual_obj,calc_time,NLP_runs,MIP_runs,relaxed_MIP_runs
190,syn10m04hfsg,4557.0624408618096,10255.426647111484,0.791718612,7,0070,00
191,syn10m04m,4557.062498676868,4583.1736585176086,0.134323636,2,0000,50
192,syn15hfsg,853.28475396864485,2201.9664912627009,0.24808617300000002,5,0050,00
193,syn15m,853.28475528832791,856.31085690238149,0.080599876,1,0000,50
194,syn15m02hfsg,2832.7489318904995,6177.3092635084222,0.6455213599999999,7,0070,00
195,syn15m02m,2832.7489437465019,2853.0934498820193,0.10089461599999999,1,0000,50
196,syn15m03hfsg,3850.1818324087012,9276.2630180744927,1.2204968809999999,8,0080,00
197,syn15m03m,3837.1818578914699,3871.4664661366264,0.119437454,1,0000,50
198,syn15m04hfsg,4937.477804825302,13853.152328496968,3.156276025,12,00110,00
199,syn15m04m,4937.477808152159,4974.3327010443409,0.13344687,1,0000,50
200,syn20hfsg,920.30441148363707,3666.7114355395825,1.6618094810000001,22,00180,00
201,syn20m,924.26339589430654,929.17366162980488,0.084250695,1,0000,40
202,syn20m02hfsg,1752.1332589231599,4882.8753931349911,0.874980663,7,0070,00
203,syn20m02m,1750.3987719293673,1761.6355138744004,0.100096979,1,0000,50
204,syn20m03hfsg,2646.9510056026111,7683.6814126162753,2.618344499,10,0090,00
205,syn20m03m,2646.9510285708029,2667.4127842869029,0.21680048,2,0000,50
206,syn20m04hfsg,3532.7440548001532,10429.203825523877,5.4764714770000005,12,00120,00
207,syn20m04m,3531.0095679917245,3536.41988586959,0.304342992,2,0000,50
208,syn30hfsg,131.16039902193705,921.32295828462793,2.047836727,22,00220,00
209,syn30m,138.15964430432612,138.1620759634157,0.23003498700000002,6,0000,70
210,syn30m02hfsg,399.6832133938662,2256.2478368425491,3.5022577339999996,14,00140,00
211,syn30m02m,399.68388903809375,402.04036418878587,0.268503064,3,0000,60
212,syn30m03hfsg,654.15428721971102,3322.3618922169971,8.312003771,13,00130,00
213,syn30m03m,654.15777580478539,658.41507187389323,0.491050385,3,0000,60
214,syn30m04hfsg,865.72214347501767,4453.7712032600375,18.641173808999998,15,00150,00
215,syn30m04m,864.06963750034538,866.17961755665533,1.0208220559999999,5,0000,60
216,syn40hfsg,64.713541574138503,1643.6017770814028,2.7475934929999997,17,00170,00
217,syn40m,67.713696504433301,67.713696504433301,0.35801314100000003,5,0010,50
218,syn40m02hfsg,388.77246611086429,4228.4562006270407,3.2630442040000003,7,0070,00
219,syn40m02m,388.48761704007597,390.97719113267613,0.41746442300000003,3,0000,40
220,syn40m03hfsg,395.14816671843465,5604.1854607324558,17.83820528,14,00140,00
221,syn40m03m,393.48748541423151,397.24258924460145,1.3479228360000002,6,0000,60
222,syn40m04hfsg,901.75196711957119,8198.5110475902675,49.046494885,17,00220,00
223,syn40m04m,901.75472433271625,904.31960585081197,3.5769642839999998,9,0010,40
224,synthes1,6.0097348485024931,6.0097348485024931,0.075433102,1,0010,50
225,synthes2,73.03531098097838,73.03531098097838,0.072251688,1,0010,70
226,synthes3,68.009739333886216,67.772693398821943,0.081894311,2,0000,70
227,tls12,105.8,14.800000000000001,299.982421164,10,1000,400
228,tls2,5.2999999999999998,5.2999999999999998,0.10387861799999999,1,0010,100
229,tls4,8.3000000000000007,8.2999999999999989,20.427964306,12,0010,110
230,tls5,10.300000000000001,6.6000000000000005,300.00676744000003,20,1000,140
231,tls6,15.6,6.1000000000000005,300.031170829,31,1000,170
232,tls7,15.699999999999999,4,300.061737854,23,1000,240
