id,path,obj,dual_obj,load_time,calc_time,solver_time,python_time,iter_nr,NLP_runs,FNLP_runs,MIQP_runs,MILP_runs,grad_amplified
167,tspn10.nl,235.15620743422534,235.15620743422534,0.14807040989398956,0.209531394764781,0.17019419139251113,0.03933720337226987,2,2,0,2,1,True
168,tspn12.nl,265.85789403710646,265.85789403710646,0.2419103467836976,0.4457549648359418,0.11044602282345295,0.33530894201248884,2,2,0,2,1,True
169,tspn15.nl,328.90696436131043,332.0459907567525,0.4942598701454699,3.2398967682383955,2.7913322998210788,0.4485644684173167,2,2,1,2,1,True
170,unitcommit2.nl,584837.0462219605,534370.3727727926,153.2726332838647,301.2409850009717,236.9419498257339,64.2990351752378,19,90,0,6,18,True
171,var_con10.nl,444.2137949070794,442.50093449858673,3.6812736932188272,15.000685634091496,6.735578175634146,8.26510745845735,5,12,0,2,4,True
172,var_con5.nl,278.1447507913739,275.67335297621463,3.732082987204194,22.30204805918038,14.471859800163656,7.830188259016722,8,26,2,2,7,True
173,wastepaper3.nl,0.6489999508915237,0.6489999508915237,0.27781627979129553,1.015478906687349,0.8714810833334923,0.1439978233538568,9,26,17,9,2,True
174,wastepaper4.nl,0.18654386993871164,0.1865438550957833,0.11050709430128336,1.1067740111611784,0.6811257270164788,0.4256482841446996,5,14,9,5,2,True
175,wastepaper5.nl,0.18654386819885452,0.18649889366697886,0.18482518568634987,2.15179526200518,1.5346104372292757,0.6171848247759044,7,23,17,7,2,True
176,wastepaper6.nl,0.04639127451330701,0.08532985496865704,0.33395617501810193,6.367655482608825,4.919053750112653,1.4486017324961722,12,43,31,10,5,True
177,water4.nl,972.5457163594989,786.3927131778934,0.6171889323741198,302.197855386883,181.01291952794418,121.18493585893884,111,551,97,2,110,True
178,waternd1.nl,691650.6952466364,691650.6952466363,0.08814634010195732,0.4259822233580053,0.24777370458468795,0.17820851877331734,2,4,0,2,1,True
